LxiVvBYlutY,490,360,2299964.333,2333798.133,2300967.310,2302668.978,0.682666666667,0.432637571157,free-throw success,train
QktoYnhOZe8,490,360,746112.033,769468.700,752562.051,754132.953,0.606666666667,0.273244781784,free-throw success,train
XEs3UcZZ1UE,490,360,2634131.500,2673771.100,2634413.208,2635763.331,0.212,0.333965844402,free-throw failure,train
vRVPw3SYcGs,490,360,3109639.867,3143874.067,3112472.955,3113516.790,0.790666666667,0.322580645161,free-throw success,train
3O0Tnin0-RQ,490,360,4116879.433,4150179.367,4124379.304,4125469.168,0.325333333333,0.413662239089,free-throw success,train
qohc9zYBqP4,490,360,4209205.000,4238267.367,-1,4213766.078,-1,-1,free-throw success,train
3d6tdmTyfhQ,490,360,1135968.167,1158757.600,-1,1153771.825,-1,-1,free-throw success,test
3d6tdmTyfhQ,490,360,1135968.167,1158757.600,-1,1137699.380,-1,-1,free-throw failure,test
hzxnHPV47oY,490,360,4221884.333,4265861.600,-1,4225608.631,-1,-1,free-throw success,train
ipH8lf68nZU,490,360,297096.800,318518.200,302081.513,303474.671,0.417333333333,0.409867172676,free-throw success,val
rl_kJouunDE,490,360,2742506.433,2766663.900,2743415.613,2744905.254,0.178666666667,0.396584440228,free-throw success,train
XvOBp8tyXm0,490,360,2524688.833,2553817.933,2524740.849,2526075.182,0.482666666667,0.184060721063,free-throw success,train
uPX_PU_0LTk,490,360,4763492.067,4786348.233,4764961.187,4766419.953,0.256,0.390891840607,free-throw failure,train
zYgYQAWrDmw,490,360,4118581.133,4143606.133,412115.577,4122260.008,0.690666666667,0.324478178368,free-throw failure,train
A2cTcDK-Vwo,1280,720,4265961.700,4286582.300,4272353.869,4273488.619,0.342666666667,0.417061611374,free-throw failure,train
hg5byEzxY7U,490,360,4611907.300,4638934.300,4612372.335,4613630.027,0.272,0.411764705882,free-throw success,train
0VhsXKRmKfU,490,360,562295.067,589655.733,562397.753,563324.329,0.229333333333,0.345351043643,free-throw failure,train
gChs1VYhpIY,490,360,4677305.967,4700162.133,4677346.721,4677468.981,0.229333333333,0.299810246679,free-throw success,train
